没有卡扣都不会掉啊,负面,0.2667,0.0215,0.7114
主播头围多大,负面,0.1083,0.0019,0.8897
@你*** 不会掉哦~，八档调节扣，摇头甩头骑车蹦迪都不会掉~,正面,0.9535,0.0069,0.0396
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
主播鱼子酱今天几瓶,正面,0.9042,0.0038,0.0919
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
15系列现在下单，顺丰统一安排发货，快充头，快充线，壳和膜随手机发出,正面,0.9896,0.0,0.0104
不错不错啊哈哈哈好哒,正面,0.9976,0.0,0.0024
赶快上吧！眼霜用完了,正面,0.779,0.0074,0.2134
好,正面,0.9591,0.0099,0.0309
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
主播声音好好听[爱心][爱心],正面,0.9788,0.0036,0.0176
短发可以戴一下不,正面,0.9085,0.0127,0.0786
好的谢谢啦[比心],正面,0.9944,0.001,0.0045
@双*** 你在磨一会，老板娘就给你上百肽霜了[尬笑],正面,0.801,0.044,0.155
比官网少多少？,正面,0.8558,0.0916,0.0525
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
想要面霜,正面,0.9626,0.02,0.0172
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
拍的啥都不知道。8888 是啥,正面,0.8212,0.0932,0.0855
不要刘海？,负面,0.0174,0.2662,0.7162
没盒子？,负面,0.0752,0.3499,0.5744
可以把这几款弄个组合套装，真的没钱[捂脸][捂脸],负面,0.4076,0.1394,0.4529
讲面膜,正面,0.8001,0.0434,0.1564
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
鱼子酱拍1发几,正面,0.9948,0.0002,0.005
毛孔粗用淡斑乳会有改善吗？,正面,0.9865,0.0111,0.0023
抗皱·淡纹·提亮·补水一号链接,正面,0.9964,0.0001,0.0035
[赞][赞],正面,0.9983,0.0,0.0017
懂了,负面,0.1694,0.0357,0.7946
试一下七号,正面,0.8804,0.0487,0.0706
2号,负面,0.3603,0.0695,0.5696
要豆浆,正面,0.6966,0.0685,0.2347
耐克踢人吗,负面,0.1856,0.154,0.6601
福利福利我喜欢,正面,0.9965,0.0001,0.0034
晚上有什么,正面,0.5705,0.0017,0.4276
苹果15手机破价，国行原装！,正面,0.9856,0.0028,0.0115
有没有别的冲锋衣,正面,0.7734,0.0107,0.2158
后面的鞋子[流泪][流泪],负面,0.0107,0.0944,0.8948
elle,正面,0.9986,0.0001,0.0013
有休闲的外套吗,正面,0.7502,0.0596,0.1899
旁边小姐姐的鞋子,负面,0.4665,0.0205,0.5127
苹果15手机破价，国行原装！,正面,0.9856,0.0028,0.0115
静韵睡衣断码能补吗，想要2xl紫色无胸垫,正面,0.9948,0.0003,0.0049
nike确定是正品吗   刚下单一双,正面,0.9947,0.0003,0.005
固定杯吗,负面,0.073,0.1094,0.8174
耐克鞋,正面,0.9986,0.0001,0.0013
要豆浆,正面,0.6966,0.0685,0.2347
elle,正面,0.9986,0.0001,0.0013
耐克踢人吗,负面,0.1856,0.154,0.6601
耐克,正面,0.7517,0.146,0.1021
可以可以,正面,0.9168,0.0308,0.0523
9.9上链接,正面,0.9822,0.0014,0.0164
牛仔裤,正面,0.8963,0.0673,0.0362
65,正面,0.7858,0.1154,0.0984
苹果15手机破价，国行原装！,正面,0.9856,0.0028,0.0115
戴森联想破价，还有半小时！,正面,0.9955,0.0004,0.0041
戴森联想破价，还有半小时！,正面,0.9955,0.0004,0.0041
戴森联想破价，还有半小时！,正面,0.9955,0.0004,0.0041
